TEMPERATURA;FLUXO-SAIDA;ALTURA
0.000000;0.000000;0.000000
20.019201;0.000000;2.003400
20.070969;0.000000;2.008806
20.120935;0.000000;2.013869
20.168900;0.000000;2.018588
20.209761;0.000000;2.023962
20.246845;0.000000;2.029025
20.291965;0.000000;2.030600
20.343662;0.000000;2.029325
20.399525;0.000000;2.025956
20.457970;0.000000;2.021919
20.528404;0.000000;2.021031
20.600277;0.000000;2.018750
20.667250;0.000000;2.016819
20.727665;0.000000;2.015144
20.793823;0.000000;2.010831
20.859768;0.000000;2.005375
20.924274;0.000000;2.000387
20.986303;0.000000;2.002312
21.056282;0.000000;2.000975
21.118607;0.000000;2.000744
21.153580;0.000000;2.005394
21.191273;0.000000;2.008244
21.239967;0.000000;2.007338
21.288012;0.000000;2.005538
21.332020;0.000000;2.011738
21.383568;0.000000;2.015181
21.441154;0.000000;2.016256
21.492085;0.000000;2.017606
21.526279;0.000000;2.021656
21.558336;0.000000;2.024937
21.591789;0.000000;2.026450
21.628532;0.000000;2.032656
21.667852;0.000000;2.039406
21.715885;0.000000;2.042844
21.777170;0.000000;2.041981
21.846298;0.000000;2.038106
21.928514;0.000000;2.032362
22.019342;0.000000;2.029781
22.111153;0.000000;2.025394
22.201769;0.000000;2.019681
22.289768;0.000000;2.013450
22.381481;0.000000;2.005263
22.472187;0.000000;2.002337
22.566671;0.000000;1.999450
22.617159;0.000000;2.004587
22.640926;0.000000;2.013900
22.665005;0.000000;2.021919
22.690676;0.000000;2.028269
22.720076;0.000000;2.032744
22.747469;0.000000;2.036381
22.774813;0.000000;2.042588
22.804512;0.000000;2.050737
22.827456;0.000000;2.059288
22.844316;0.000000;2.067719
22.873178;0.000000;2.072394
22.914717;0.000000;2.073231
22.951389;0.000000;2.073831
22.993200;0.000000;2.080487
23.039715;0.000000;2.085400
23.078716;0.000000;2.090600
23.106636;0.000000;2.095769
23.138899;0.000000;2.098694
23.184336;0.000000;2.097706
23.231581;0.000000;2.099950
23.279263;0.000000;2.104763
23.342150;0.000000;2.105300
23.419949;0.000000;2.101550
23.507055;0.000000;2.094700
23.590481;0.000000;2.087656
23.675303;0.000000;2.084856
23.761909;0.000000;2.082269
23.849251;0.000000;2.078081
23.924700;0.000000;2.074894
23.995211;0.000000;2.071475
24.072220;0.000000;2.065550
24.150541;0.000000;2.058375
24.218309;0.000000;2.060150
24.290190;0.000000;2.060412
24.377380;0.000000;2.056619
24.457703;0.000000;2.052875
24.515497;0.000000;2.051406
24.571421;0.000000;2.048613
24.633627;0.000000;2.043931
24.695484;0.000000;2.046331
24.749453;0.000000;2.048956
24.806515;0.000000;2.049762
24.880682;0.000000;2.046275
24.959904;0.000000;2.040856
25.022894;0.000000;2.036369
24.995026;0.000000;2.035675
24.962923;0.000000;2.042250
24.966293;0.000000;2.046925
24.993240;0.000000;2.051750
24.996962;0.000000;2.056056
24.968164;0.000000;2.056881
24.972605;0.000000;2.057356
24.998875;0.000000;2.064669
24.985382;0.000000;2.070625
24.962423;0.000000;2.073713
24.972368;0.000000;2.076638
25.005512;0.000000;2.077150
24.985558;0.000000;2.076288
24.967058;0.000000;2.080563
24.983612;0.000000;2.082775
25.010698;0.000000;2.081675
24.985043;0.000000;2.080206
24.987297;0.000000;2.076081
25.006840;0.000000;2.078444
24.986963;0.000000;2.080644
24.998192;0.000000;2.081644
24.994209;0.000000;2.081075
24.983469;0.000000;2.083062
24.998224;0.000000;2.084556
24.985197;0.000000;2.089575
24.966585;0.000000;2.093812
24.983711;0.000000;2.094925
25.009817;0.000000;2.093850
24.972536;0.000000;2.093481
24.965979;0.000000;2.093056
24.993671;0.000000;2.096412
24.995474;0.000000;2.101625
24.950556;0.000000;2.106625
24.939957;0.000000;2.109825
24.962559;0.000000;2.111075
24.996637;0.000000;2.110294
24.991398;0.000000;2.117500
24.960672;0.000000;2.122325
24.961275;0.000000;2.127600
24.973553;0.000000;2.132863
24.995022;0.000000;2.135275
24.991793;0.000000;2.135863
24.970802;0.000000;2.141950
24.974411;0.000000;2.151556
24.978247;0.000000;2.160506
24.984449;0.000000;2.167788
